Matemáticas P.E.S.	15	 profesores
Geografía e Historia P.E.S.	10	 profesores
Contr. Lab. Religión (Sec-Ere) 05 Horas	1	 profesores
Biología y Geología P.E.S.	4	 profesores
Educación Física P.E.S.	6	 profesores
Economía P.E.S.	4	 profesores
Física y Química P.E.S.	6	 profesores
Informática P.E.S.	11	 profesores
Dibujo P.E.S.	5	 profesores
Filosofía P.E.S.	5	 profesores
Tecnología P.E.S.	6	 profesores
Lengua Castellana y Literatura P.E.S.	14	 profesores
Música P.E.S.	2	 profesores
Cultura Clásica P.E.S.	1	 profesores
Administración de Empresas P.E.S.	7	 profesores
Equipos Electrónicos P.T.F.P.	2	 profesores
Laboral Religión (Sec-Ere) Jor.Completa	1	 profesores
Orientación Educativa P.E.S.	3	 profesores
Proc. Gestión Administrativa P.T.F.P.	6	 profesores
Contr. Lab. Religión (Sec-Ere) 06 Horas	2	 profesores
Audición y Lenguaje Eso. (Signos)	1	 profesores
Francés P.E.S.	3	 profesores
Sistemas Electrónicos P.E.S.	1	 profesores
Contr. Lab.Evangelic. (Sec-Ere) 04 Horas	1	 profesores
Pedagogía Terapeutica Eso	1	 profesores
Inglés P.E.S.	12	 profesores
Formación y Orientación Laboral P.E.S.	3	 profesores
Area de Lengua y CC. Soc. (Apoyo Covid)	2	 profesores
Area Científico-Tecnolog. (Apoyo Covid)	2	 profesores
Sistemas y Aplic. Informáticos P.T.F.P.	3	 profesores
